 Item,Price,Quantity,Use ,Link
KTT Kang White V3,$24.89,1x 90pcs,Keyswitches,https://www.aliexpress.us/item/3256807301426125.html?spm=a2g0o.detail.0.0.3d1b6S4E6S4EFs&mp=1&pdp_npi=5%40dis%21USD%21USD%2029.28%21USD%2024.89%21%21USD%2024.89%21%21%21%402101e83017622042732346918e6bca%2112000040979340369%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
WS2812B 5v 2m 30 leds,$5.16,1x 2m 30 ip30,backlight,https://www.aliexpress.us/item/3256804103077154.html?spm=a2g0o.detail.0.0.58ecoyj9oyj91V&mp=1&pdp_npi=5%40dis%21USD%21USD%209.93%21USD%205.16%21%21USD%205.16%21%21%21%40210337c117622045728231910e80cb%2112000038338767353%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
Teensy 2.0,$9.18,1X,mcu,https://www.aliexpress.us/item/3256803067426595.html?spm=a2g0o.tesla.0.0.4250OXmpOXmpuX&afTraceInfo=1005003253741347__pc__c_ppc_item_bridge_pc_main__xOYgwFH__1762223117433&gatewayAdapt=glo2usa4itemAdapt
usb adapter 20cm V8F-V3ST,$2.24,1x,adapt the usb,https://www.aliexpress.us/item/3256805661411472.html?spm=a2g0o.detail.0.0.79d0nuT8nuT8Ln&mp=1&pdp_npi=5%40dis%21USD%21USD%202.24%21USD%202.24%21%21USD%202.24%21%21%21%402101d97817622274198304062ed850%2112000034562878545%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
transparent keycaps,$18.82,1x,cap keys,https://www.aliexpress.us/item/3256809158263730.html?spm=a2g0o.detail.0.0.7867x8u0x8u0Bq&mp=1&pdp_npi=5%40dis%21USD%21USD%2020.05%21USD%2018.82%21%21USD%2018.82%21%21%21%40210337c117622048939932539e80cb%2112000048819835707%21ct%21US%214381910819%21%211%210&gatewayAdapt=glo2usa
1/8th in acrylic sheet,$15,1x,be the backplate and plate,my makerspace!
m2 screws 4mm,$2.24,1x,mount the pcb,https://www.aliexpress.us/item/3256806812715286.html?spm=a2g0o.productlist.main.18.65975acdtLSuCT&algo_pvid=13e61948-fbdd-423b-8661-dafd5a1cd556&algo_exp_id=13e61948-fbdd-423b-8661-dafd5a1cd556-17&pdp_ext_f=%7B%22order%22%3A%22971%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.11%212.75%21%21%213.11%212.75%21%402101f11417622055544167553ef72b%2112000038996754351%21sea%21US%214381910819%21X%211%210%21n_tag%3A-29919%3Bd%3A747bdf24%3Bm03_new_user%3A-29895&curPageLogUid=lCJAop0qt41n&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006999030038%7C_p_origin_prod%3A
m3 screws,$0,gottem,gottem,yo tengo
pcbs,$33.74,5x,be a pcb,jlcpcb
Diodes,$2.38,2x,be diodes,https://www.aliexpress.us/item/3256806058794623.html?spm=a2g0o.productlist.main.2.21c47164oKn0xm&algo_pvid=cf2a58fb-98bf-4c31-b0fb-3dd53bf9cf60&algo_exp_id=cf2a58fb-98bf-4c31-b0fb-3dd53bf9cf60-1&pdp_ext_f=%7B%22order%22%3A%22933%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.72%211.19%21%21%2112.18%218.40%21%402101eede17622272036972994e35de%2112000036448323916%21sea%21US%214381910819%21X%211%210%21n_tag%3A-29919%3Bd%3A747bdf24%3Bm03_new_user%3A-29895&curPageLogUid=29HuQ5YR0viZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006245109375%7C_p_origin_prod%3A
Total without tax or shipping,$113.65,,,
Total ,$119.32,,,
